
DECIMAL       HEXADECIMAL     DESCRIPTION
10364196      0x9E2524        Zlib compressed data, compressed
10366972      0x9E2FFC        Zlib compressed data, compressed
10369896      0x9E3B68        Zlib compressed data, compressed
10372400      0x9E4530        Zlib compressed data, compressed
10374660      0x9E4E04        JFFS2 filesystem, little endian
10387536      0x9E8050        Zlib compressed data, compressed
10388824      0x9E8558        JFFS2 filesystem, little endian
10396964      0x9EA524        Zlib compressed data, compressed
10399656      0x9EAFA8        Zlib compressed data, compressed
10400076      0x9EB14C        Zlib compressed data, compressed
10402144      0x9EB960        Zlib compressed data, compressed
10405168      0x9EC530        Zlib compressed data, compressed
10405532      0x9EC69C        JFFS2 filesystem, little endian
10406288      0x9EC990        Zlib compressed data, compressed
10408312      0x9ED178        Zlib compressed data, compressed
10411148      0x9EDC8C        Zlib compressed data, compressed
10411472      0x9EDDD0        JFFS2 filesystem, little endian
10413428      0x9EE574        Zlib compressed data, compressed
10415304      0x9EECC8        Zlib compressed data, compressed
10417884      0x9EF6DC        Zlib compressed data, compressed
10418272      0x9EF860        JFFS2 filesystem, little endian
10420304      0x9F0050        Zlib compressed data, compressed
10422300      0x9F081C        JFFS2 filesystem, little endian
10440240      0x9F4E30        Zlib compressed data, compressed
